DATA_TYPE,XP,YP,ZP,ROLL,PITCH,FAN_STATE,ALERT
Acceleration,0.00,0.00,0.00,0.00,0.00,0,0
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,0
Acceleration,-0.20,-0.43,9.69,-2.55,1.16,0,0
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,0
Acceleration,-0.12,-0.43,9.61,-2.57,0.70,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.12,-0.43,9.77,-2.53,0.69,0,0
Acceleration,-0.12,-0.39,9.65,-2.33,0.70,0,0
Acceleration,-0.16,-0.35,9.73,-2.08,0.92,0,0
Acceleration,-0.12,-0.43,9.65,-2.56,0.70,1,0
Acceleration,-0.16,-0.47,9.65,-2.79,0.93,1,0
Acceleration,-0.16,-0.35,9.65,-2.10,0.93,1,0
Acceleration,-0.16,-0.47,9.61,-2.80,0.93,1,0
Acceleration,-0.16,-0.47,9.65,-2.79,0.93,1,0
Acceleration,0.00,0.00,0.00,0.00,-0.00,1,0
Acceleration,-0.20,-0.43,9.69,-2.55,1.16,1,0
Acceleration,-0.16,-0.47,9.65,-2.79,0.93,1,0
Acceleration,-0.20,-0.51,9.65,-3.03,1.16,1,0
Acceleration,-0.12,-0.35,9.69,-2.09,0.70,0,0
Acceleration,-0.16,-0.51,9.61,-3.04,0.93,0,0
Acceleration,-0.20,-0.39,9.69,-2.32,1.16,0,0
Acceleration,-0.16,-0.39,9.73,-2.31,0.92,0,0
Acceleration,-0.20,-0.43,9.65,-2.56,1.16,0,0
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,0
Acceleration,-0.24,-0.43,9.73,-2.54,1.38,0,0
Acceleration,-0.08,-0.43,9.65,-2.56,0.47,0,0
Acceleration,1.77,9.92,0.82,85.26,-10.05,0,1
Acceleration,1.80,9.77,1.41,81.78,-10.36,0,1
Acceleration,-0.12,-0.43,9.73,-2.54,0.69,0,1
Acceleration,-0.16,-0.39,9.57,-2.11,1.17,0,1
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,0
Acceleration,-0.16,-0.43,9.61,-2.57,0.93,0,0
Acceleration,-0.12,-0.35,9.73,-2.08,0.69,0,0
Acceleration,-0.16,-0.43,9.61,-2.57,0.93,0,0
Acceleration,-0.12,-0.39,9.73,-2.31,0.69,0,0
Acceleration,-0.20,-0.43,9.69,-2.55,1.16,0,0
Acceleration,-0.12,-0.43,9.69,-2.55,0.70,0,0
Acceleration,-0.16,-0.39,9.73,-2.31,0.92,0,0
Acceleration,-0.20,-0.51,9.65,-3.03,1.16,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.16,-0.39,9.69,-2.32,0.93,0,0
Acceleration,-0.12,-0.47,9.65,-2.79,0.70,0,0
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,0
Acceleration,-0.16,-0.39,9.65,-2.33,0.93,0,0
Acceleration,-0.16,-0.47,9.65,-2.79,0.93,0,0
Acceleration,-0.16,-0.35,9.65,-2.10,0.93,0,0
Acceleration,-0.16,-0.47,9.61,-2.80,0.93,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,1,0
Acceleration,-0.24,-0.43,9.65,-2.56,1.40,1,0
Acceleration,-0.12,-0.51,9.65,-3.03,0.70,1,0
Acceleration,-0.12,-0.39,9.61,-2.34,0.70,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.12,-0.43,9.65,-2.56,0.70,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,0
Acceleration,-0.20,-0.47,9.61,-2.80,1.17,0,0
Acceleration,-0.20,-0.39,9.77,-2.30,1.15,0,0
Acceleration,0.78,9.65,0.31,88.14,-4.65,0,1
Acceleration,-0.08,-0.43,9.73,-2.54,0.46,0,1
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,1
Acceleration,-0.12,-0.43,9.69,-2.55,0.70,0,1
Acceleration,-0.16,-0.43,9.61,-2.57,0.93,0,0
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,0
Acceleration,-0.16,-0.47,9.69,-2.78,0.93,0,0
Acceleration,-0.20,-0.35,9.65,-2.10,1.16,0,0
Acceleration,-0.16,-0.55,9.73,-3.23,0.92,0,0
Acceleration,-0.20,-0.39,9.69,-2.32,1.16,0,0
Acceleration,-0.12,-0.39,9.65,-2.33,0.70,0,0
Acceleration,-0.16,-0.35,9.69,-2.09,0.93,0,0
Acceleration,-0.20,-0.47,9.65,-2.79,1.16,0,0
Acceleration,-0.12,-0.35,9.69,-2.09,0.70,0,0
Acceleration,-0.20,-0.43,9.61,-2.57,1.17,0,0
Acceleration,-0.16,-0.39,9.69,-2.32,0.93,0,0
Acceleration,-0.16,-0.39,9.69,-2.32,0.93,0,0
Acceleration,-0.16,-0.39,9.69,-2.32,0.93,0,0
Acceleration,-0.08,-0.47,9.69,-2.78,0.46,0,0
Acceleration,-0.12,-0.35,9.69,-2.09,0.70,0,0
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,0
Acceleration,-0.12,-0.43,9.69,-2.55,0.70,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,1,0
Acceleration,-0.16,-0.51,9.65,-3.03,0.93,1,0
Acceleration,-0.16,-0.51,9.65,-3.03,0.93,1,0
Acceleration,-0.12,-0.39,9.65,-2.33,0.70,0,0
Acceleration,-0.16,-0.39,9.73,-2.31,0.92,0,0
Acceleration,-0.20,-0.39,9.69,-2.32,1.16,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.12,-0.43,9.73,-2.54,0.69,0,0
Acceleration,-0.12,-0.35,9.77,-2.07,0.69,0,0
Acceleration,-0.16,-0.35,9.65,-2.10,0.93,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,0,0
Acceleration,-0.16,-0.31,9.69,-1.86,0.93,0,0
Acceleration,-0.12,-0.39,9.61,-2.34,0.70,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,0,0
Acceleration,0.20,-9.61,1.57,-80.73,-1.15,0,1
Acceleration,1.18,-10.12,-0.51,-92.89,-6.62,0,1
Acceleration,0.71,-9.96,0.24,-88.65,-4.05,0,1
Acceleration,-0.16,-10.16,-0.75,-94.20,0.88,0,1
Acceleration,-0.20,-10.55,-0.67,-93.62,1.06,0,1
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,1
Acceleration,-0.16,-0.39,9.73,-2.31,0.92,0,1
Acceleration,-0.27,-0.43,9.61,-2.57,1.64,0,1
Acceleration,-0.16,-0.39,9.69,-2.32,0.93,0,0
Acceleration,-0.16,-0.35,9.61,-2.10,0.93,0,0
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,0
Acceleration,-0.12,-0.35,9.69,-2.09,0.70,0,0
Acceleration,-0.12,-0.51,9.65,-3.03,0.70,0,0
Acceleration,-0.08,-0.43,9.65,-2.56,0.47,0,0
Acceleration,-0.16,-0.43,9.73,-2.54,0.92,0,0
Acceleration,-0.12,-0.47,9.69,-2.78,0.70,0,0
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,0
Acceleration,-0.12,-0.35,9.65,-2.10,0.70,0,0
Acceleration,-0.12,-0.47,9.57,-2.82,0.70,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,1,0
Acceleration,-0.20,-0.43,9.61,-2.57,1.17,1,0
Acceleration,-0.12,-0.47,9.69,-2.78,0.70,1,0
Acceleration,-0.20,-0.39,9.69,-2.32,1.16,0,0
Acceleration,-0.16,-0.39,9.69,-2.32,0.93,0,0
Acceleration,-0.08,-0.43,9.69,-2.55,0.46,0,0
Acceleration,-0.24,-0.31,9.69,-1.86,1.39,0,0
Acceleration,-0.08,-0.43,9.69,-2.55,0.46,0,0
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.16,-0.47,9.65,-2.79,0.93,0,0
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,0
Acceleration,-0.16,-0.35,9.61,-2.10,0.93,0,0
Acceleration,-0.12,-0.43,9.61,-2.57,0.70,0,0
Acceleration,-0.20,-0.35,9.65,-2.10,1.16,0,0
Acceleration,-0.12,-0.39,9.61,-2.34,0.70,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,0,0
Acceleration,-0.16,-0.31,9.65,-1.86,0.93,0,0
Acceleration,-0.16,-0.43,9.69,-2.55,0.93,0,0
Acceleration,-0.16,-0.35,9.65,-2.10,0.93,0,0
Acceleration,-0.12,-0.47,9.73,-2.77,0.69,0,0
Acceleration,-0.20,-0.39,9.69,-2.32,1.16,0,0
Acceleration,-0.12,-0.39,9.69,-2.32,0.70,0,0
Acceleration,-0.20,-0.47,9.61,-2.80,1.17,0,0
Acceleration,-0.20,-0.39,9.69,-2.32,1.16,0,0
Acceleration,-0.20,-0.43,9.69,-2.55,1.16,0,0
Acceleration,-0.16,-0.43,9.65,-2.56,0.93,0,0
Acceleration,-0.08,-0.35,9.65,-2.10,0.47,0,0
Acceleration,-0.16,-0.47,9.69,-2.78,0.93,0,0
